node,lng,lat
378056970,116.3059465,39.9982089
378057149,116.3070495,39.9935443
378057424,116.3063146,39.9916188
378057588,116.3040948,39.9952062
378057597,116.3034717,39.9951127
378057622,116.3019462,39.9945728
378058077,116.3005549,39.9946264
378058098,116.3001288,39.993623
378058748,116.3043071,39.9875503
378058754,116.3042782,39.987858
378058775,116.3052809,39.9880915
378058828,116.3003691,39.9898287
378058832,116.3004238,39.9896096
378058837,116.3003861,39.9886754
378058842,116.3003814,39.9882194
378058854,116.3013675,39.9878092
378058858,116.3013728,39.9876478
380721771,116.2991786,39.9933027
380721810,116.2993652,39.9930361
380721813,116.3001184,39.9916336
380721816,116.3003872,39.9912115
380721892,116.3050398,39.9910584
380721894,116.3051105,39.9902074
380721896,116.3048326,39.9898976
380721969,116.3065508,39.9881439
380721972,116.3060061,39.9869801
380722032,116.3060528,39.9861604
380739878,116.3059375,39.9919705
380739885,116.304791,39.9953265
380739886,116.3047237,39.9959026
380739887,116.3047341,39.9962926
380739903,116.3036001,39.9961909
380739904,116.3036141,39.9959189
380739905,116.303967,39.9959026
380741307,116.30631,39.9914972
380742136,116.3065184,39.9886735
380742438,116.3063573,39.990685
380742469,116.3090649,39.9907899
380742575,116.309229,39.9887881
1993349176,116.3003875,39.9872114
1993349178,116.2994076,39.9871864
2354645481,116.3071531,39.9916729
2354656600,116.3047501,39.9912889
2485149493,116.3006577,39.9860121
2485149496,116.3053872,39.9861331
2485149499,116.3043961,39.9861106
2485149502,116.3043634,39.9866422
2485149507,116.2995117,39.9864681
2485149518,116.3003918,39.9865122
2485149520,116.3004512,39.9891884
2485149523,116.3003723,39.9897967
2485149532,116.2995454,39.9913275
2485149537,116.2994191,39.9927301
2485149540,116.3001947,39.9927282
2485149541,116.3001997,39.9924657
2485149544,116.2994246,39.9924591
2485149555,116.2988164,39.99167
2485149558,116.3005837,39.9936661
2485149561,116.3002032,39.9930371
2485149575,116.2999495,39.9932952
2485149578,116.3001454,39.993292
2485149580,116.2997892,39.9933071
2485149591,116.3008391,39.9920485
2485149594,116.3006844,39.9915941
2485149600,116.3002893,39.9911446
2485149602,116.3003113,39.9928439
2485149605,116.3006002,39.9928621
2485149674,116.303555,39.9896484
2485149677,116.3035441,39.9898554
2485149680,116.3014752,39.9874689
2485149683,116.3011085,39.9874339
2485149686,116.3011578,39.9865584
2485149690,116.3023369,39.9874835
2485149693,116.3023719,39.9866009
2485149696,116.3024061,39.9860568
2485149700,116.3025418,39.9860603
2485149702,116.3025781,39.9852611
2485149705,116.3034648,39.9860839
2485149880,116.3066074,39.9871544
2485149931,116.3074097,39.9875358
2485149932,116.307383,39.9879758
2485149938,116.3082175,39.9882281
2485149940,116.3065874,39.9874959
2485149942,116.3082777,39.9875709
2485149944,116.3081871,39.988744
2485149984,116.3088544,39.9938129
2485149987,116.3072904,39.9950408
2485150034,116.3070746,39.993371
2485150045,116.3035722,39.992568
2485150049,116.3023585,39.9928952
2485222670,116.3048976,39.9944889
2485222676,116.3030488,39.9941322
2485222677,116.3030545,39.9938355
2485222696,116.3002963,39.9908353
2485222704,116.3003059,39.9906465
2485222706,116.299962,39.9906349
2485222707,116.2999869,39.9901978
2485222709,116.3003354,39.9902094
2485222770,116.3034735,39.9892565
2485222772,116.3035665,39.9893799
2485222773,116.3051519,39.9893971
2748949454,116.3093076,39.9907995
2772513806,116.3002247,39.9880775
2772902129,116.3005832,39.9937145
2772902130,116.3006773,39.9932778
2772902131,116.3008587,39.9937975
2772902132,116.3007861,39.9936
2772923067,116.3017953,39.9938153
2772923071,116.3017858,39.9935307
2772923073,116.3014865,39.9933198
2772923081,116.3015255,39.9928837
2772979557,116.3016347,39.9911692
2772979561,116.3016117,39.9918729
2772979564,116.3024414,39.9911896
2772979567,116.3024169,39.9918699
2772979573,116.3027913,39.992172
2773029819,116.3016917,39.9896332
2773029823,116.3024903,39.9896379
2773111458,116.3051295,39.9897386
2773111459,116.3064146,39.9897919
2773111460,116.3052647,39.9910154
2773111461,116.3063316,39.9910617
2773111462,116.3063789,39.9902667
2773111463,116.305332,39.9902173
2773111464,116.3052974,39.9906472
3087450727,116.3032553,39.9935524
3087450731,116.3030555,39.9936632
3087450732,116.3025963,39.99382
3471557716,116.307685,39.993625
4424710209,116.3039502,39.9882798
4915767664,116.3087194,39.9958471
4915767667,116.3066043,39.9949843
5676070933,116.3028018,39.9874993
5676070934,116.3028499,39.9865915
5676070935,116.303718,39.9875303
5676070936,116.3037726,39.9866235
5676070937,116.3028212,39.9870744
5676070938,116.3037471,39.9870967
5676070940,116.3011699,39.9860252
5677292262,116.3053325,39.9871409
5677292263,116.3043368,39.9870757
5677292265,116.3064966,39.9869969
5677292266,116.3057755,39.9881119
5677292267,116.3058359,39.9871644
5677292268,116.3033865,39.9925504
5677292271,116.303321,39.9920237
5677292273,116.3040869,39.9920774
5677292278,116.3060249,39.9918029
5677292279,116.3028495,39.991816
5677292280,116.3058675,39.9920871
5677292281,116.3051097,39.9943192
5677292283,116.3058763,39.9931059
5677292284,116.3030869,39.9945907
5677292285,116.3002108,39.9946248
5677292286,116.3002312,39.9936324
5677292289,116.2994453,39.9940261
5677292290,116.3002243,39.9940346
5677292300,116.3003771,39.9948364
5677292302,116.3005104,39.9956339
5677292304,116.3009941,39.995683
5677292310,116.3004651,39.9951213
5677292311,116.3010621,39.9950259
5677292313,116.3012364,39.9946671
5677292317,116.3005036,39.9957979
5677293521,116.3011639,39.9946141
5677293522,116.3017558,39.9950499
5677293536,116.3053133,39.9966679
5677293539,116.3030868,39.9949674
5928860386,116.30205,39.9964023
5928860390,116.3046036,39.9964913
5928860391,116.3045635,39.9968552
5928860404,116.3060029,39.996633
5928860406,116.3063579,39.9949538
5928860425,116.2992875,39.987993
5928860426,116.3003827,39.9880084
5928860427,116.2993346,39.987671
5928860428,116.3003847,39.9876728
5928860429,116.2993949,39.9872855
5928860430,116.3003869,39.9873111
5928860431,116.2994495,39.9868606
5928860432,116.3003895,39.9868888
5928928445,116.3032716,39.9891757
5928928447,116.3017104,39.9892395
5928928448,116.3025048,39.9892479
6018578781,116.3094367,39.9887974
8074560564,116.3028161,39.9891706
8074560565,116.3028556,39.9882687
8074560566,116.3024563,39.9882696
8074560567,116.3024429,39.9891663
8074560572,116.3020246,39.9877338
8074560614,116.3034887,39.9889884
8134204427,116.3039284,39.9922606
8134204453,116.3042594,39.992792
8134204695,116.3054488,39.9927438
8134204699,116.3036884,39.9962856
8134204709,116.3047211,39.9947539
8134204715,116.2993248,39.9935979
8134204734,116.3011397,39.9911534
8134204854,116.3016158,39.9915999
8156964574,116.2987586,39.9930813
8156964575,116.2991613,39.9929329
8156964584,116.2994166,39.9926118
8156964585,116.3001954,39.992616
8157976908,116.2997817,39.9940307
8157976911,116.2998352,39.994075
8157976913,116.2998958,39.9940307
8157983928,116.3047886,39.9913177
8983773530,116.3077663,39.9916982
8983773531,116.3074832,39.9912235
8983773532,116.3078209,39.9912388
8983773533,116.307851,39.990749
9120857931,116.3053692,39.9962778
9177833376,116.3064935,39.9889675
9177833377,116.3051783,39.9889213
9177873740,116.3051374,39.9896187
9177873741,116.3048422,39.9893937
9177887248,116.3067716,39.9886842
9177887250,116.3064393,39.989573
9177887251,116.3067436,39.9891795
9177887252,116.3064815,39.9891709
9177887254,116.3014039,39.9885361
9177887255,116.3016689,39.9892358
9177887256,116.3003753,39.9885079
9177903896,116.3010838,39.9878085
9177903899,116.3003863,39.9874102
9177903900,116.3010915,39.9876416
9177946734,116.3044071,39.989389
9177946736,116.3051609,39.9891805
9178081934,116.3052159,39.9886173
9310161278,116.2985746,39.9939387
9310161286,116.2998333,39.9941486
9310161288,116.2998393,39.9939877
9310161289,116.2998427,39.9938766
9310161291,116.2993238,39.9942323
9310161294,116.2989476,39.9942762
9310161295,116.2989388,39.9947877
9310161300,116.2994299,39.9947964
9310167181,116.303583,39.9968854
9526267278,116.3084393,39.9867412
9865004533,116.3034457,39.9974254
9865004535,116.3037737,39.9978145
9865004536,116.303373,39.9976646
9865004538,116.3026661,39.9973682
9865004587,116.3056063,39.9952175
9865004588,116.3056603,39.9948701
9865004589,116.3059936,39.9952523
9865004641,116.3090235,39.9915735
9865004642,116.3087716,39.9915711
9865004658,116.306012,39.9931694
9865004660,116.3061749,39.9927213
9989770264,116.3078522,39.9917029
9989795704,116.3071094,39.9927443
9989876547,116.3034283,39.9866116
9989876550,116.303241,39.9872589
9989876553,116.303254,39.9871514
9989876560,116.3032688,39.9870267
9989876563,116.3031929,39.9870835
9989876564,116.3033581,39.9870924
9994886115,116.3045163,39.9873289
9994886116,116.3045298,39.9870883
9994899540,116.3024536,39.9908025
9994899541,116.3023692,39.9907911
9994899556,116.301918,39.9906319
9994899562,116.3022539,39.9905353
9994899578,116.3023501,39.9900065
